Gender,AgeGroup,EffortRate,SavingsRate,DistCrime,date,amount,duration,payments,status
female,adult,1,-414.41868801529455,0.08082071812836232,1995-10-31,73836,36,2051,1
male,adult,0,-431.68478910264076,0.04927897982132045,1995-11-02,41952,12,3496,1
female,kid,0,-439.3679053650377,0.05029539257498427,1995-11-04,99336,24,4139,1
male,adult,1,-409.8781216393835,0.04031682831014255,1995-11-12,60156,36,1671,-1
male,adult,1,-426.1644162982436,0.04079489772108579,1995-11-18,182040,60,3034,1
male,adult,0,-450.7432190225834,0.04268826619964974,1995-11-22,244368,48,5091,1
female,adult,1,-427.6819213765086,0.09654256005366772,1995-11-22,113796,36,3161,1
female,adult,1,-408.097741665671,0.08082071812836232,1995-11-23,73056,48,1522,1
male,adult,0,-458.56972159158806,0.09260018245038804,1995-11-28,137904,24,5746,-1
male,adult,1,-405.43314613454424,0.1533536992729177,1995-11-28,31176,24,1299,1
male,adult,0,-461.9870952324054,0.083494750621346,1995-12-04,217152,36,6032,1
male,adult,0,-438.42394551320353,0.11464167721616698,1995-12-05,194880,48,4060,1
male,adult,1,-417.77631736169207,0.03857940321698846,1995-12-11,27984,12,2332,1
male,adult,0,-436.2014577607839,0.05417730399703779,1995-12-12,92976,24,3874,1
male,adult,0,-442.0444497550484,0.05417730399703779,1995-12-12,104712,24,4363,1
male,adult,1,-428.1240291552157,0.04502307759296351,1995-12-12,191880,60,3198,1
female,adult,0,-447.8037997371252,0.11464167721616698,1995-12-16,232560,48,4845,1
male,adult,0,-430.537698649779,0.053929181051631865,1995-12-18,204000,60,3400,1
male,adult,1,-414.8727446528857,0.1533536992729177,1995-12-25,125340,60,2089,1
male,adult,0,-466.98171824590753,0.083494750621346,1995-12-31,309600,48,6450,1
female,adult,0,-484.3553590632095,0.04079489772108579,1996-01-01,189696,24,7904,1
male,adult,1,-423.6073604970726,0.0414875888079993,1996-01-01,135360,48,2820,1
female,adult,1,-414.5142788863664,0.03467942903020635,1996-01-03,98832,48,2059,1
male,adult,1,-394.9778946110647,0.04289875783225239,1996-01-11,20352,48,424,1
male,adult,1,-422.79483809296215,0.06014908115820807,1996-01-12,165120,60,2752,1
male,adult,0,-434.66005496475094,0.07003122076338446,1996-01-19,89880,24,3745,1
male,adult,0,-432.7243398255467,0.043951532995498685,1996-02-03,128988,36,3583,-1
female,adult,0,-452.8940136216992,0.09643705463182897,1996-02-08,63252,12,5271,1
female,adult,1,-420.60819691719445,0.06439049720887965,1996-02-10,61656,24,2569,-1
female,adult,1,-425.96128569721594,0.05417730399703779,1996-02-12,72408,24,3017,-1
male,adult,1,-427.5982793643208,0.04268826619964974,1996-02-13,113544,36,3154,1
male,adult,1,-401.0837615007767,0.09654256005366772,1996-02-20,56100,60,935,1
female,adult,0,-447.8037997371252,0.03857940321698846,1996-02-21,290700,60,4845,-1
male,adult,1,-420.5842991994265,0.06377253878768113,1996-02-24,123216,48,2567,1
male,adult,0,-465.6195483331342,0.11464167721616698,1996-02-29,380160,60,6336,1
male,adult,0,-460.7085673318199,0.07066674867757412,1996-03-04,213300,36,5925,1
male,adult,0,-451.5796391444618,0.1533536992729177,1996-03-10,247728,48,5161,1
female,adult,0,-457.21950053769865,0.05417730399703779,1996-03-13,202788,36,5633,1
male,adult,1,-428.41080176843116,0.05938831585280381,1996-03-21,154656,48,3222,1
female,adult,1,-414.8607957940017,0.07003122076338446,1996-03-26,100224,48,2088,-1
male,adult,0,-434.3493846337675,0.06439049720887965,1996-04-10,44628,12,3719,1
male,adult,0,-443.5858525510814,0.03171341164381962,1996-04-11,215616,48,4492,-1
male,adult,0,-439.94145059146854,0.04268826619964974,1996-04-15,200976,48,4187,1
female,kid,0,-482.14482016967384,0.042525992841315835,1996-04-18,277884,36,7719,-1
male,adult,0,-451.973951487633,0.07217408139678144,1996-04-21,249312,48,5194,1
male,adult,0,-469.8135978014101,0.1533536992729177,1996-04-25,320976,48,6687,-1
female,adult,1,-420.0585494085315,0.04502307759296351,1996-04-29,30276,12,2523,-1
female,adult,1,-399.75743816465535,0.07003122076338446,1996-04-29,49440,60,824,1
female,adult,1,-420.0585494085315,0.04502307759296351,1996-04-29,30276,12,2523,-1
female,adult,0,-472.5379376269567,0.04031682831014255,1996-05-02,165960,24,6915,1
female,adult,1,-414.52622774525037,0.07003122076338446,1996-05-06,123600,60,2060,1
female,adult,0,-433.8475325606405,0.043951532995498685,1996-05-06,220620,60,3677,1
male,adult,1,-423.00991755287373,0.04827855208293275,1996-05-14,66480,24,2770,-1
male,adult,0,-469.7180069303382,0.038609906100708365,1996-05-18,320592,48,6679,1
male,adult,0,-443.51415939777763,0.083494750621346,1996-05-24,161496,36,4486,1
male,adult,0,-446.5252718365397,0.07291721488342719,1996-05-29,284280,60,4738,1
female,adult,0,-447.33779424065006,0.07259435183413437,1996-05-30,173016,36,4806,1
female,adult,0,-463.3731628629467,0.03456990272744612,1996-06-03,368880,60,6148,1
female,adult,0,-448.377344963556,0.06377253878768113,1996-06-06,176148,36,4893,1
male,adult,0,-436.3089974907397,0.10787711328618929,1996-06-08,186384,48,3883,1
female,adult,0,-479.52802007408303,0.04438886042039787,1996-06-13,360000,48,7500,1
male,adult,1,-395.89795674513095,0.04280338015742821,1996-06-15,30060,60,501,1
male,adult,1,-412.97287609033344,0.07108097804555343,1996-06-29,46320,24,1930,1
female,adult,0,-437.0259290237783,0.05029539257498427,1996-07-06,141948,36,3943,1
female,adult,1,-396.23252479388225,0.08540574047943363,1996-07-11,19044,36,529,1
female,adult,1,-418.3618114470069,0.029488806675488106,1996-07-14,85716,36,2381,1
male,adult,0,-467.5194168956865,0.07291721488342719,1996-07-15,155880,24,6495,1
male,adult,1,-398.0368024853627,0.04927897982132045,1996-07-18,32640,48,680,1
male,adult,1,-396.61488827816953,0.1533536992729177,1996-07-18,20196,36,561,1
female,adult,0,-500.65360258095353,0.04438886042039787,1996-07-23,444864,48,9268,1
female,kid,1,-401.26299438403635,0.09654256005366772,1996-07-25,11400,12,950,1
male,adult,1,-422.03011112438764,0.06377253878768113,1996-07-25,96768,36,2688,1
female,adult,1,-423.2608435894373,0.03857940321698846,1996-07-27,133968,48,2791,1
female,adult,0,-483.06488230374,0.083494750621346,1996-07-28,187104,24,7796,1
male,adult,0,-443.836778587645,0.08419158940775572,1996-07-31,162468,36,4513,1
male,adult,1,-407.70342932249974,0.03733629782272715,1996-08-02,89340,60,1489,1
male,adult,1,-407.70342932249974,0.03733629782272715,1996-08-02,89340,60,1489,1
male,adult,0,-475.6924363723265,0.1533536992729177,1996-08-03,258444,36,7179,1
female,adult,0,-467.39992830684673,0.059153279785809906,1996-08-04,155640,24,6485,1
male,adult,0,-457.21950053769865,0.07492822203317737,1996-08-06,270384,48,5633,1
male,adult,0,-443.7053411399212,0.03537833871939065,1996-08-06,54024,12,4502,1
male,adult,0,-434.09845859720406,0.0633376420164637,1996-08-09,44376,12,3698,1
female,adult,1,-411.2283426932729,0.04438886042039787,1996-08-11,85632,48,1784,1
male,adult,1,-419.56864619428853,0.045007394071883235,1996-08-20,148920,60,2482,1
male,adult,0,-435.2933444856017,0.08419158940775572,1996-08-22,91152,24,3798,1
female,adult,0,-460.43374357748837,0.03857940321698846,1996-08-22,141648,24,5902,1
female,adult,0,-486.62564225116506,0.03171341164381962,1996-08-24,388512,48,8094,-1
male,kid,0,-469.96893296690166,0.07429299567024478,1996-08-25,402000,60,6700,1
female,adult,0,-474.0554427052217,0.045007394071883235,1996-08-28,253512,36,7042,-1
male,adult,1,-413.63006332895213,0.1533536992729177,1996-09-09,71460,36,1985,1
male,adult,1,-419.2340781455371,0.083494750621346,1996-09-11,29448,12,2454,-1
female,adult,1,-406.09033337316293,0.047460365545794206,1996-09-14,48744,36,1354,1
male,adult,1,-425.96128569721594,0.042707871572414666,1996-09-16,181020,60,3017,1
male,adult,1,-412.75779663042186,0.1533536992729177,1996-09-17,68832,36,1912,1
female,adult,1,-414.5142788863664,0.07112264763140817,1996-09-19,74124,36,2059,1
female,adult,0,-433.2381407575577,0.07066674867757412,1996-09-19,174048,48,3626,1
female,adult,0,-431.7923288325965,0.03171341164381962,1996-09-22,84120,24,3505,1
male,adult,0,-454.61464930099186,0.09071520992281265,1996-09-25,194940,36,5415,1
female,adult,1,-397.4752061178158,0.08540574047943363,1996-09-25,15192,24,633,1
female,adult,0,-485.66973354044694,0.04438886042039787,1996-09-26,96168,12,8014,1
male,adult,0,-436.2014577607839,0.04827855208293275,1996-09-26,139464,36,3874,-1
male,adult,1,-407.96630421794725,0.03733629782272715,1996-09-28,54396,36,1511,1
male,adult,0,-468.06906440434943,0.07112264763140817,1996-10-02,392460,60,6541,1
female,adult,0,-490.9989246027005,0.1533536992729177,1996-10-03,101520,12,8460,1
female,adult,1,-415.5299318915044,0.1533536992729177,1996-10-04,77184,36,2144,1
male,adult,1,-407.5002987214721,0.1533536992729177,1996-10-04,70656,48,1472,1
female,adult,1,-406.006691360975,0.032036613272311214,1996-10-10,64656,48,1347,1
female,adult,0,-468.79794479627196,0.04079489772108579,1996-10-16,396120,60,6602,1
male,adult,0,-436.51212809176724,0.06729445318646735,1996-10-20,93600,24,3900,1
female,adult,1,-397.5349504122357,0.04031682831014255,1996-10-23,22968,36,638,1
female,adult,0,-442.28342693272793,0.06439049720887965,1996-10-24,262980,60,4383,1
female,adult,0,-464.01840124268136,0.04438886042039787,1996-10-29,372120,60,6202,1
female,adult,0,-475.72828294897846,0.07003122076338446,1996-10-29,86184,12,7182,1
female,adult,0,-475.72828294897846,0.07003122076338446,1996-10-29,86184,12,7182,1
female,adult,0,-453.8857689090692,0.038609906100708365,1996-10-31,192744,36,5354,1
female,kid,1,-424.03751941689575,0.07291721488342719,1996-11-03,68544,24,2856,1
male,adult,0,-477.974668419166,0.10787711328618929,1996-11-06,88440,12,7370,1
male,adult,0,-444.73294300394315,0.03477866019219542,1996-11-09,110112,24,4588,1
female,adult,0,-444.74489186282716,0.1533536992729177,1996-11-11,110136,24,4589,1
male,adult,0,-444.9360736049708,0.04438886042039787,1996-11-12,276300,60,4605,1
male,adult,0,-461.55693631258214,0.04927897982132045,1996-11-15,359760,60,5996,1
female,adult,0,-453.87382005018526,0.07259435183413437,1996-11-15,321180,60,5353,1
male,adult,1,-401.40638069064414,0.038609906100708365,1996-11-15,46176,48,962,1
male,adult,0,-494.7150197156172,0.07259435183413437,1996-11-18,421008,48,8771,1
male,adult,0,-461.7242203369579,0.03857940321698846,1996-11-19,72120,12,6010,1
female,adult,0,-465.6792926275541,0.1533536992729177,1996-11-22,228276,36,6341,1
female,adult,0,-435.3769864977895,0.038609906100708365,1996-11-25,182640,48,3805,1
male,adult,0,-451.2092245190585,0.05417730399703779,1996-11-28,61560,12,5130,1
male,adult,0,-434.5525152347951,0.09654256005366772,1996-11-28,179328,48,3736,1
female,adult,1,-428.6497789461107,0.08824551496459754,1996-12-04,155616,48,3242,1
male,adult,0,-473.0756362767356,0.048095413965690705,1996-12-05,417600,60,6960,1
male,adult,0,-451.3526108256662,0.08082071812836232,1996-12-11,123408,24,5142,1
male,adult,1,-428.6497789461107,0.083494750621346,1996-12-12,155616,48,3242,1
male,adult,0,-434.1582028916239,0.03731898324364527,1996-12-15,222180,60,3703,-1
female,adult,1,-401.11960807742867,0.07003122076338446,1996-12-21,45024,48,938,1
male,adult,1,-428.3510574740113,0.04031682831014255,1996-12-25,115812,36,3217,1
female,adult,0,-454.33982554666034,0.05962057065268637,1996-12-27,129408,24,5392,1
