effortRate,savingsRate,distCrime,expenses,age,amount,duration,payments,status,gender,ageGroup,month,day
16.67,-5.17,4.4,43205,29,97632,12,8136,1,0,0,5,21
47.37,-237.05,6.95,24982,39,196080,48,4085,1,1,0,5,22
73.21,-365.51,7.11,34342,51,76908,12,6409,-1,0,0,5,26
31.66,-80.46,7.43,6199,41,63312,48,1319,1,0,0,5,26
4.47,-0.92,10.04,23334,37,25944,24,1081,1,0,0,5,26
50.45,-32.88,3.46,14272,52,104808,12,8734,1,0,0,5,31
16.67,0.25,15.34,21635,37,208320,48,4340,1,1,0,6,1
16.67,10.07,3.46,27761,44,151560,24,6315,1,1,0,6,3
22.51,-103.56,6.11,17472,38,52128,24,2172,1,0,0,6,4
44.1,-48.21,3.2,19687,33,300204,36,8339,1,1,0,6,4
16.67,10.06,4.25,28444,30,77640,12,6470,1,1,0,6,5
16.66,-13.38,6.33,10546,33,87216,48,1817,-1,1,0,6,6
40.6,-51.62,6.38,9953,35,87360,24,3640,1,1,0,6,7
12.19,-12.11,9.26,11846,56,69360,48,1445,1,1,0,6,12
38.32,-22.85,15.34,10600,62,288360,60,4806,1,1,0,6,14
75.26,-244.38,8.39,26038,19,174744,24,7281,-1,0,0,6,17
42.84,-175.46,10.79,21674,55,239460,60,3991,1,0,0,6,23
30.43,-106.0,15.34,22018,46,91584,24,3816,1,0,0,6,25
46.47,-224.74,4.82,24410,30,244560,60,4076,1,0,0,6,29
5.01,-64.27,3.49,13200,45,4980,12,415,1,0,0,7,5
154.1,-258.15,4.82,10176,48,276660,36,7685,-1,1,0,7,8
26.3,-143.88,15.34,27287,17,39576,12,3298,1,0,1,7,11
14.58,-5.27,4.75,45058,47,173808,24,7242,1,1,0,7,11
8.74,-60.32,9.26,14585,50,50460,60,841,1,0,0,7,16
33.5,-187.85,15.34,31898,32,252060,60,4201,-1,0,0,7,19
68.49,-303.07,7.11,29289,46,143904,24,5996,1,1,0,7,23
43.81,-130.68,9.65,18494,46,208128,48,4336,-1,1,0,7,24
29.08,-104.27,15.34,21971,43,131292,36,3647,1,1,0,7,28
10.07,-6.28,5.39,19831,32,74736,36,2076,1,1,0,7,30
16.66,-26.01,7.07,20714,44,189300,60,3155,1,1,0,8,3
7.87,-10.8,4.81,15941,48,14628,12,1219,1,0,0,8,4
26.78,-109.43,15.34,22906,53,120888,36,3358,1,0,0,8,5
35.41,-260.64,8.82,32926,40,172080,48,3585,1,0,0,8,7
53.74,-169.23,15.34,27025,57,323472,48,6739,1,0,0,8,10
16.67,-15.34,6.95,36850,47,74688,12,6224,1,1,0,8,11
47.03,-67.87,5.96,9800,20,45768,12,3814,1,0,0,8,23
16.67,-8.63,5.42,34428,18,224604,36,6239,1,0,0,8,25
7.52,4.79,3.46,38679,38,79632,24,3318,1,0,0,8,27
58.09,-314.75,4.81,31183,32,121896,24,5079,1,1,0,8,27
16.67,-13.94,3.73,40314,22,82896,12,6908,1,0,0,9,2
21.96,-245.59,6.38,29013,43,23628,12,1969,1,1,0,9,10
11.96,-0.1,3.86,32109,44,209184,48,4358,1,1,0,9,11
35.3,-146.69,5.03,20913,23,41904,12,3492,1,1,0,9,19
73.74,-115.44,8.42,14062,31,87816,12,7318,1,0,0,9,26
13.85,-25.79,9.65,15532,51,23052,12,1921,1,1,0,9,28
93.64,6.36,3.73,0,27,189696,24,7904,-1,0,0,9,28
59.92,-188.4,11.46,24386,55,230220,36,6395,-1,0,0,9,29
68.11,-225.64,4.81,22516,54,71460,12,5955,1,0,0,9,30
16.67,-8.31,4.15,32361,35,141240,24,5885,1,1,0,9,30
2.22,-5.57,15.34,22805,59,11736,24,489,1,1,0,10,2
63.43,-169.27,3.73,17375,18,192744,36,5354,1,1,0,10,3
65.77,-224.21,4.44,24872,44,227880,36,6330,1,1,0,10,12
12.45,-4.07,11.46,10738,51,17508,12,1459,1,1,0,10,25
16.67,41.64,4.27,10233,52,98184,24,4091,1,0,0,10,28
29.11,-32.74,4.03,25253,32,170256,24,7094,1,0,0,10,30
67.98,-556.54,7.0,59898,18,83016,12,6918,1,1,0,11,2
7.83,0.46,15.34,14902,40,61056,48,1272,1,0,0,11,3
29.38,-195.57,4.82,23350,57,123696,48,2577,1,1,0,11,3
10.81,-8.91,11.46,22600,33,59760,24,2490,1,0,0,11,4
31.1,-66.94,15.34,5905,49,48672,36,1352,1,1,0,11,6
31.1,-74.12,15.34,17936,56,140400,36,3900,1,1,0,11,6
93.87,-99.15,4.4,8998,34,192552,24,8023,-1,0,0,11,12
51.03,-212.79,5.42,23375,22,164052,36,4557,-1,0,0,11,19
16.67,-3.33,4.56,29641,34,205200,36,5700,1,0,0,12,4
24.22,-296.18,3.73,32892,48,51408,24,2142,1,1,0,12,8
16.67,-10.08,5.92,18653,48,199680,60,3328,1,1,0,12,11
24.72,-38.11,5.42,14025,19,36684,12,3057,1,0,0,12,20
16.67,-14.52,11.46,39004,37,398640,60,6644,1,0,0,12,20
12.07,-16.72,9.65,14597,32,100980,60,1683,1,1,0,12,21
20.76,-210.16,15.34,36293,58,31248,12,2604,1,0,0,12,21
38.4,-154.89,5.39,18163,60,115992,36,3222,1,1,0,12,21
74.24,-88.84,15.34,9826,40,76380,12,6365,1,0,0,1,2
96.68,-185.71,3.49,15667,39,288468,36,8013,1,0,0,1,3
42.67,-121.92,5.94,15555,25,177744,48,3703,-1,1,0,1,3
59.95,-311.6,15.34,44101,60,270648,36,7518,-1,1,0,1,8
24.23,-419.14,3.86,41390,36,48624,24,2026,1,1,0,1,8
16.66,-28.42,15.34,21351,63,76416,24,3184,1,0,0,1,11
16.67,-13.33,4.27,13329,34,137880,60,2298,-1,1,0,1,14
81.97,-358.26,3.73,33275,33,347952,48,7249,1,0,0,1,16
14.89,-3.66,6.21,33826,20,68112,12,5676,1,0,0,1,18
88.8,-492.19,8.54,45260,57,95808,12,7984,1,1,0,1,30
4.91,-32.08,6.38,11234,49,20832,48,434,1,1,0,2,2
59.2,-106.76,15.34,13135,29,316140,60,5269,-1,1,0,2,5
9.35,-7.52,3.54,37747,21,43164,12,3597,1,0,0,2,6
13.78,-3.6,11.46,30046,33,221280,48,4610,1,0,0,2,8
29.62,-81.79,11.46,16241,21,151728,48,3161,-1,1,0,2,11
12.35,-128.94,7.22,23364,44,79920,60,1332,1,1,0,2,12
37.38,-58.94,8.54,13175,47,97224,24,4051,1,1,0,2,23
5.87,-12.85,7.07,21434,27,28248,24,1177,1,0,0,3,4
56.14,-322.3,15.34,45920,21,168984,24,7041,-1,1,0,3,4
32.3,-269.9,5.03,33399,43,76680,24,3195,1,0,0,3,11
24.91,-28.0,7.11,22869,15,331560,60,5526,1,0,1,3,15
17.97,-25.94,3.47,10381,26,103680,60,1728,-1,1,0,3,16
24.28,-298.2,4.55,31985,26,99696,48,2077,-1,0,0,3,16
55.18,-192.52,7.0,24154,57,134784,24,5616,1,0,0,3,19
13.89,-27.76,10.79,10538,32,15420,12,1285,1,0,0,3,21
8.91,-22.32,15.34,16837,47,31728,24,1322,1,0,0,3,27
40.04,-113.29,8.39,16762,52,185952,48,3874,1,1,0,3,29
62.89,-110.84,4.28,10238,41,156672,36,4352,1,0,0,4,1
12.34,19.49,15.34,8550,34,18564,12,1547,1,0,0,4,2
39.6,-351.8,3.86,34472,58,158976,48,3312,1,1,0,4,5
20.48,-537.95,4.44,59425,26,47304,24,1971,1,1,0,4,10
40.88,-332.91,11.46,41841,53,104712,24,4363,1,1,0,4,11
16.67,-3.28,9.26,27411,58,126600,24,5275,1,1,0,4,13
57.62,-36.06,5.03,7760,21,68400,12,5700,-1,0,0,4,15
27.19,-25.96,3.54,13648,49,225420,60,3757,1,0,0,4,25
36.46,-44.57,4.28,20443,57,248148,36,6893,1,0,0,4,28
92.84,-300.11,4.27,25820,50,187224,24,7801,-1,1,0,5,1
24.18,-250.29,15.34,40897,25,36396,12,3033,1,1,0,5,8
7.88,-19.4,7.43,44624,39,189060,60,3151,1,0,0,5,24
12.93,-19.24,6.38,16237,51,71064,36,1974,1,0,0,5,29
17.46,-21.51,3.86,10826,43,87216,48,1817,1,0,0,5,30
16.67,-18.31,4.27,16134,19,158760,60,2646,1,1,0,5,30
78.6,-309.49,3.73,29260,39,417060,60,6951,1,1,0,6,1
13.05,-34.22,5.0,9805,35,63360,60,1056,1,0,0,6,6
11.5,18.35,7.22,7567,24,29784,24,1241,1,1,0,6,13
65.96,-619.03,3.54,57561,56,139536,24,5814,1,0,0,6,13
41.86,-48.91,4.08,18847,47,265320,36,7370,1,1,0,6,23
63.69,-46.0,10.04,10676,41,198240,24,8260,1,1,0,6,24
13.58,-33.23,8.35,8814,51,60000,60,1000,1,1,0,7,3
16.67,3.17,8.82,19760,34,98592,24,4108,1,0,0,7,10
51.14,-169.08,5.92,20283,16,285600,60,4760,1,1,1,7,25
11.34,-14.66,6.73,16741,46,44088,24,1837,1,0,0,8,1
18.93,-208.73,6.73,25789,24,20220,12,1685,1,0,0,8,5
12.55,-6.81,5.44,33691,38,107640,24,4485,1,0,0,8,11
16.67,1.7,6.33,8734,22,21396,12,1783,1,0,0,8,18
5.26,1.09,4.44,12609,25,33984,48,708,1,1,0,8,26
9.31,-15.05,4.08,21455,40,45336,24,1889,1,1,0,8,29
12.84,-11.17,5.44,10956,42,85860,60,1431,1,0,0,9,3
16.67,-17.46,4.44,23773,32,188688,48,3931,1,0,0,9,9
16.67,-6.83,8.35,34888,62,309552,48,6449,1,1,0,9,16
16.67,-35.16,15.34,21424,36,36168,12,3014,1,1,0,9,22
3.28,30.05,8.39,12328,43,21852,36,607,1,1,0,10,8
20.05,-21.81,4.4,22516,32,266220,60,4437,1,0,0,10,14
15.94,0.76,15.34,33636,23,231696,36,6436,1,0,0,10,20
16.67,-10.59,9.26,40705,21,260028,36,7223,1,1,0,10,28
16.67,-15.5,15.34,41497,54,419880,60,6998,1,1,0,10,29
16.67,-4.42,3.86,16632,21,37908,12,3159,1,0,0,10,31
19.63,-218.79,8.08,31250,30,73836,36,2051,1,0,0,10,31
16.67,-20.25,4.93,21727,25,41952,12,3496,1,1,0,11,2
36.81,-33.31,5.03,10850,17,99336,24,4139,1,0,1,11,4
19.83,-581.95,4.03,55797,21,60156,36,1671,-1,1,0,11,12
7.39,-3.56,4.08,39467,48,182040,60,3034,1,1,0,11,18
16.67,1.46,9.65,15527,20,113796,36,3161,1,0,0,11,22
26.74,-56.2,8.08,7369,20,73056,48,1522,1,0,0,11,23
48.38,-6.19,9.26,6867,29,137904,24,5746,-1,1,0,11,28
6.62,13.33,15.34,15698,29,31176,24,1299,1,1,0,11,28
16.67,-3.68,8.35,31490,23,217152,36,6032,1,1,0,12,4
16.67,-7.84,11.46,22206,18,194880,48,4060,1,1,0,12,5
27.88,-99.95,3.86,14390,48,27984,12,2332,1,1,0,12,11
43.38,-290.58,5.42,31005,20,92976,24,3874,1,1,0,12,12
48.86,-294.45,5.42,30861,20,104712,24,4363,1,1,0,12,12
35.13,-381.43,4.5,40631,48,191880,60,3198,1,1,0,12,12
45.39,-202.12,11.46,27400,27,232560,48,4845,1,0,0,12,16
16.66,-7.77,5.39,18589,53,204000,60,3400,1,1,0,12,18
16.66,-168.08,15.34,31531,53,125340,60,2089,1,1,0,12,25
16.67,-8.37,8.35,35489,22,309600,48,6450,1,1,0,12,31
94.07,-643.61,4.08,54574,53,189696,24,7904,1,0,0,1,1
34.44,-484.62,4.15,45043,22,135360,48,2820,1,1,0,1,1
13.27,-28.08,3.47,17820,27,98832,48,2059,1,0,0,1,3
5.07,-34.83,4.29,10856,45,20352,48,424,1,1,0,1,11
32.22,-40.21,6.01,9223,44,165120,60,2752,1,1,0,1,12
36.8,-283.58,7.0,35292,34,89880,24,3745,1,1,0,1,19
41.92,-119.98,4.4,15219,58,128988,36,3583,-1,1,0,2,3
16.67,-14.84,9.64,31047,48,63252,12,5271,1,0,0,2,8
29.88,-186.53,6.44,22067,44,61656,24,2569,-1,0,0,2,10
33.78,-137.59,5.42,18200,39,72408,24,3017,-1,0,0,2,12
16.67,-13.53,4.27,18331,55,113544,36,3154,1,1,0,2,13
10.03,-20.33,9.65,10285,39,56100,60,935,1,1,0,2,20
57.93,-618.16,3.86,55215,38,290700,60,4845,-1,0,0,2,21
28.63,-405.53,6.38,42754,19,123216,48,2567,1,1,0,2,24
59.36,-440.13,11.46,51312,48,380160,60,6336,1,1,0,2,29
82.39,-131.32,7.07,10709,33,213300,36,5925,1,1,0,3,4
41.15,-234.61,15.34,36803,18,247728,48,5161,1,1,0,3,10
11.69,11.39,5.42,37076,44,202788,36,5633,1,0,0,3,13
16.67,-8.02,5.94,17658,41,154656,48,3222,1,1,0,3,21
20.52,-14.52,7.0,9567,40,100224,48,2088,-1,0,0,3,26
7.8,6.28,6.44,40997,54,44628,12,3719,1,1,0,4,10
29.13,-41.92,3.17,17392,40,215616,48,4492,-1,1,0,4,11
16.67,-23.34,4.27,26801,42,200976,48,4187,1,1,0,4,15
93.52,-365.17,4.25,30676,17,277884,36,7719,-1,0,1,4,18
48.15,-142.24,7.22,20936,42,249312,48,5194,1,1,0,4,21
14.31,4.01,15.34,38155,61,320976,48,6687,-1,1,0,4,25
16.67,-31.07,4.5,17320,58,30276,12,2523,-1,0,0,4,29
4.07,-3.75,7.0,20187,31,49440,60,824,1,0,0,4,29
16.67,-35.58,4.5,18002,58,30276,12,2523,-1,0,0,4,29
16.67,-17.16,4.03,41696,53,165960,24,6915,1,0,0,5,2
20.24,-106.61,7.0,18967,36,123600,60,2060,1,0,0,5,6
16.67,-33.96,4.4,25881,54,220620,60,3677,1,0,0,5,6
31.67,-124.53,4.83,16867,62,66480,24,2770,-1,1,0,5,14
16.67,4.25,3.86,31690,32,320592,48,6679,1,1,0,5,18
49.88,-149.18,8.35,17925,26,161496,36,4486,1,1,0,5,24
12.52,-2.0,7.29,33855,38,284280,60,4738,1,1,0,5,29
72.23,-530.42,3.46,47513,19,368880,60,6148,1,0,0,6,3
14.03,23.19,6.38,21900,34,176148,36,4893,1,0,0,6,6
41.68,-421.79,10.79,44732,38,186384,48,3883,1,1,0,6,8
77.93,-457.33,4.44,46137,24,360000,48,7500,1,0,0,6,13
2.56,-11.6,4.28,21381,46,30060,60,501,1,1,0,6,15
22.17,-378.64,7.11,39736,18,46320,24,1930,1,1,0,6,29
39.86,-11.29,5.03,7067,47,141948,36,3943,1,0,0,7,6
5.88,-93.69,8.54,16886,23,19044,36,529,1,0,0,7,11
16.67,-4.51,2.95,12550,54,85716,36,2381,1,0,0,7,14
71.65,-421.45,7.29,40774,29,155880,24,6495,1,1,0,7,15
9.52,-39.2,4.93,9263,55,32640,48,680,1,1,0,7,18
2.37,4.28,15.34,22072,26,20196,36,561,1,1,0,7,18
53.76,-61.05,4.44,18499,32,444864,48,9268,1,0,0,7,23
13.28,-37.2,9.65,8868,17,11400,12,950,1,0,1,7,25
29.98,-383.05,6.38,40617,36,96768,36,2688,1,1,0,7,25
33.37,-397.07,3.86,38779,61,133968,48,2791,1,0,0,7,27
16.67,13.34,8.42,18950,43,162468,36,4513,1,1,0,7,31
12.9,-14.17,3.73,11688,26,89340,60,1489,1,1,0,8,2
12.9,-13.3,3.73,11588,26,89340,60,1489,1,1,0,8,2
57.24,-41.97,15.34,10625,31,258444,36,7179,1,1,0,8,3
28.21,-23.2,5.92,21841,54,155640,24,6485,1,0,0,8,4
16.67,-12.53,7.49,32400,35,270384,48,5633,1,1,0,8,6
16.67,-20.25,3.54,27981,29,54024,12,4502,1,1,0,8,6
40.88,-292.16,6.33,31773,35,44376,12,3698,1,1,0,8,9
18.54,-302.96,4.44,36997,48,85632,48,1784,1,0,0,8,11
16.67,-38.85,4.5,18196,20,148920,60,2482,1,1,0,8,20
16.67,-8.07,8.42,20830,55,91152,24,3798,1,1,0,8,22
70.57,-217.49,3.86,20650,52,141648,24,5902,1,0,0,8,22
99.03,-204.61,3.17,16802,28,388512,48,8094,-1,0,0,8,24
132.07,-238.18,7.43,10456,17,402000,60,6700,1,1,1,8,25
83.4,-184.49,4.5,16980,52,253512,36,7042,-1,0,0,8,28
8.84,-7.03,15.34,22039,20,71460,36,1985,1,1,0,9,9
27.28,-58.48,8.35,11800,50,29448,12,2454,-1,1,0,9,11
7.1,-33.75,4.75,24150,33,48744,36,1354,1,0,0,9,14
16.67,-8.28,4.27,16582,29,181020,60,3017,1,1,0,9,16
10.12,-6.24,15.34,18170,38,68832,36,1912,1,1,0,9,17
23.52,-362.19,7.11,38401,58,74124,36,2059,1,0,0,9,19
38.02,-449.17,7.07,48754,45,174048,48,3626,1,0,0,9,19
42.89,-384.71,3.17,36110,47,84120,24,3505,1,0,0,9,22
48.02,-264.75,9.07,35718,33,194940,36,5415,1,1,0,9,25
4.41,-16.55,8.54,16083,25,15192,24,633,1,0,0,9,25
83.27,-272.34,4.44,27820,25,96168,12,8014,1,0,0,9,26
44.29,-44.53,4.83,8767,39,139464,36,3874,-1,1,0,9,26
20.16,9.9,3.73,5243,58,54396,36,1511,1,1,0,9,28
16.67,-6.52,7.11,35266,18,392460,60,6541,1,1,0,10,2
68.55,-95.04,15.34,15612,21,101520,12,8460,1,0,0,10,3
17.1,-177.26,15.34,32627,43,77184,36,2144,1,0,0,10,4
9.89,-15.97,15.34,15782,45,70656,48,1472,1,1,0,10,4
9.9,51.16,3.2,5300,56,64656,48,1347,1,0,0,10,10
16.67,-2.07,4.08,33827,47,396120,60,6602,1,0,0,10,16
43.83,-171.86,6.73,20293,25,93600,24,3900,1,1,0,10,20
7.82,48.03,4.03,3600,47,22968,36,638,1,0,0,10,23
50.98,-112.49,6.44,13887,31,262980,60,4383,1,0,0,10,24
64.44,-538.45,4.44,55242,60,372120,60,6202,1,0,0,10,29
16.67,2.23,7.0,34953,57,86184,12,7182,1,0,0,10,29
16.67,1.07,7.0,35453,57,86184,12,7182,1,0,0,10,29
62.66,-441.44,3.86,40907,26,192744,36,5354,1,0,0,10,31
9.66,20.47,7.29,20654,13,68544,24,2856,1,0,1,11,3
79.1,-355.62,10.79,35080,59,88440,12,7370,1,1,0,11,6
36.59,-149.39,15.34,26687,39,110136,24,4589,1,0,0,11,11
77.72,-145.23,4.44,9925,21,276300,60,4605,1,1,0,11,12
63.62,-122.56,4.93,14980,18,359760,60,5996,1,1,0,11,15
16.67,1.01,7.26,26442,53,321180,60,5353,1,0,0,11,15
5.31,20.81,3.86,13378,31,46176,48,962,1,1,0,11,15
41.71,-46.06,7.26,21941,44,421008,48,8771,1,1,0,11,18
16.67,-1.05,3.86,30431,38,72120,12,6010,1,1,0,11,19
42.67,-18.41,15.34,11254,30,228276,36,6341,1,0,0,11,22
16.67,-11.16,3.86,21575,55,182640,48,3805,1,0,0,11,25
16.67,-7.78,5.42,28040,54,61560,12,5130,1,1,0,11,28
16.03,-18.19,9.65,23810,24,179328,48,3736,1,1,0,11,28
16.67,-8.5,8.82,17863,38,155616,48,3242,1,0,0,12,4
79.61,-75.85,4.81,8415,27,417600,60,6960,1,1,0,12,5
49.22,-84.71,8.08,14153,33,123408,24,5142,1,1,0,12,11
18.43,-19.38,8.35,17759,18,155616,48,3242,1,1,0,12,12
41.87,-205.7,3.73,23330,58,222180,60,3703,-1,1,0,12,15
9.22,-95.23,7.0,18931,40,45024,48,938,1,0,0,12,21
38.17,-377.89,4.03,37055,44,115812,36,3217,1,1,0,12,25
66.49,-185.91,5.96,17795,35,129408,24,5392,1,0,0,12,27
