loan_id,gender,ageGroup,effortRate,savingsRate,distCrime,expenses,account_id,date,amount,duration,payments,status
5237,male,adult,9.31,-15.05,4.08,21455,1375,1995-08-29,45336,24,1889,1
6726,female,adult,12.84,-11.17,5.44,10956,8492,1995-09-03,85860,60,1431,1
6933,female,adult,16.67,-17.46,4.44,23773,9493,1995-09-09,188688,48,3931,1
5145,male,adult,16.67,-6.83,8.35,34888,915,1995-09-16,309552,48,6449,1
7008,male,adult,16.67,-35.16,15.34,21424,9897,1995-09-22,36168,12,3014,1
7227,female,adult,63.51,-715.27,4.25,62050,10942,1995-10-02,314520,60,5242,1
6600,male,adult,3.28,30.05,8.39,12328,7861,1995-10-08,21852,36,607,1
6712,female,adult,20.05,-21.81,4.4,22516,8405,1995-10-14,266220,60,4437,1
7057,female,adult,15.94,0.76,15.34,33636,10093,1995-10-20,231696,36,6436,1
7176,male,adult,16.67,-10.59,9.26,40705,10663,1995-10-28,260028,36,7223,1
7304,male,adult,16.67,-15.5,15.34,41497,11349,1995-10-29,419880,60,6998,1
6362,female,adult,16.67,-4.42,3.86,16632,6738,1995-10-31,37908,12,3159,1
5880,female,adult,19.63,-218.79,8.08,31250,4423,1995-10-31,73836,36,2051,1
6535,male,adult,16.67,-20.25,4.93,21727,7546,1995-11-02,41952,12,3496,1
5449,female,kid,36.81,-33.31,5.03,10850,2343,1995-11-04,99336,24,4139,1
6342,male,adult,19.83,-581.95,4.03,55797,6609,1995-11-12,60156,36,1671,-1
5409,male,adult,7.39,-3.56,4.08,39467,2218,1995-11-18,182040,60,3034,1
6955,male,adult,60.59,-859.44,4.27,75531,9627,1995-11-22,244368,48,5091,1
6985,female,adult,16.67,1.46,9.65,15527,9731,1995-11-22,113796,36,3161,1
5125,female,adult,26.74,-56.2,8.08,7369,789,1995-11-23,73056,48,1522,1
5805,male,adult,48.38,-6.19,9.26,6867,4081,1995-11-28,137904,24,5746,-1
6185,male,adult,6.62,13.33,15.34,15698,5774,1995-11-28,31176,24,1299,1
7243,male,adult,16.67,-3.68,8.35,31490,11042,1995-12-04,217152,36,6032,1
6403,male,adult,16.67,-7.84,11.46,22206,6924,1995-12-05,194880,48,4060,1
6578,male,adult,27.88,-99.95,3.86,14390,7765,1995-12-11,27984,12,2332,1
5413,male,adult,43.38,-290.58,5.42,31005,2227,1995-12-12,92976,24,3874,1
6949,male,adult,48.86,-294.45,5.42,30861,9583,1995-12-12,104712,24,4363,1
6545,male,adult,35.13,-381.43,4.5,40631,7606,1995-12-12,191880,60,3198,1
6178,female,adult,45.39,-202.12,11.46,27400,5742,1995-12-16,232560,48,4845,1
5160,male,adult,16.66,-7.77,5.39,18589,1011,1995-12-18,204000,60,3400,1
6785,male,adult,16.66,-168.08,15.34,31531,8899,1995-12-25,125340,60,2089,1
6540,male,adult,16.67,-8.37,8.35,35489,7562,1995-12-31,309600,48,6450,1
6589,female,adult,94.07,-643.61,4.08,54574,7815,1996-01-01,189696,24,7904,1
5900,male,adult,34.44,-484.62,4.15,45043,4503,1996-01-01,135360,48,2820,1
5999,female,adult,13.27,-28.08,3.47,17820,4907,1996-01-03,98832,48,2059,1
6043,male,adult,5.07,-34.83,4.29,10856,5126,1996-01-11,20352,48,424,1
5482,male,adult,32.22,-40.21,6.01,9223,2496,1996-01-12,165120,60,2752,1
7263,male,adult,36.8,-283.58,7.0,35292,11138,1996-01-19,89880,24,3745,1
6013,male,adult,41.92,-119.98,4.4,15219,4995,1996-02-03,128988,36,3583,-1
5750,female,adult,16.67,-14.84,9.64,31047,3804,1996-02-08,63252,12,5271,1
6027,female,adult,29.88,-186.53,6.44,22067,5066,1996-02-10,61656,24,2569,-1
6303,female,adult,33.78,-137.59,5.42,18200,6400,1996-02-12,72408,24,3017,-1
7213,male,adult,16.67,-13.53,4.27,18331,10884,1996-02-13,113544,36,3154,1
6659,male,adult,10.03,-20.33,9.65,10285,8092,1996-02-20,56100,60,935,1
6175,female,adult,57.93,-618.16,3.86,55215,5735,1996-02-21,290700,60,4845,-1
5610,male,adult,28.63,-405.53,6.38,42754,3112,1996-02-24,123216,48,2567,1
5563,male,adult,59.36,-440.13,11.46,51312,2912,1996-02-29,380160,60,6336,1
5989,male,adult,82.39,-131.32,7.07,10709,4852,1996-03-04,213300,36,5925,1
6698,male,adult,41.15,-234.61,15.34,36803,8327,1996-03-10,247728,48,5161,1
5312,female,adult,11.69,11.39,5.42,37076,1772,1996-03-13,202788,36,5633,1
7189,male,adult,16.67,-8.02,5.94,17658,10728,1996-03-21,154656,48,3222,1
6816,female,adult,20.52,-14.52,7.0,9567,9017,1996-03-26,100224,48,2088,-1
6137,male,adult,7.8,6.28,6.44,40997,5574,1996-04-10,44628,12,3719,1
5128,male,adult,29.13,-41.92,3.17,17392,808,1996-04-11,215616,48,4492,-1
5470,male,adult,16.67,-23.34,4.27,26801,2456,1996-04-15,200976,48,4187,1
5593,female,kid,93.52,-365.17,4.25,30676,3037,1996-04-18,277884,36,7719,-1
5350,male,adult,48.15,-142.24,7.22,20936,1967,1996-04-21,249312,48,5194,1
6063,male,adult,14.31,4.01,15.34,38155,5213,1996-04-25,320976,48,6687,-1
6501,female,adult,16.67,-31.07,4.5,17320,7418,1996-04-29,30276,12,2523,-1
5452,female,adult,4.07,-3.75,7.0,20187,2352,1996-04-29,49440,60,824,1
4961,female,adult,16.67,-35.58,4.5,18002,19,1996-04-29,30276,12,2523,-1
4973,female,adult,16.67,-17.16,4.03,41696,67,1996-05-02,165960,24,6915,1
6190,female,adult,20.24,-106.61,7.0,18967,5794,1996-05-06,123600,60,2060,1
6715,female,adult,16.67,-33.96,4.4,25881,8411,1996-05-06,220620,60,3677,1
5892,male,adult,31.67,-124.53,4.83,16867,4462,1996-05-14,66480,24,2770,-1
6550,male,adult,16.67,4.25,3.86,31690,7614,1996-05-18,320592,48,6679,1
5706,male,adult,49.88,-149.18,8.35,17925,3608,1996-05-24,161496,36,4486,1
5148,male,adult,12.52,-2.0,7.29,33855,940,1996-05-29,284280,60,4738,1
6734,female,adult,47.84,-562.24,7.26,61716,8547,1996-05-30,173016,36,4806,1
6109,female,adult,72.23,-530.42,3.46,47513,5422,1996-06-03,368880,60,6148,1
6961,female,adult,14.03,23.19,6.38,21900,9645,1996-06-06,176148,36,4893,1
6810,male,adult,41.68,-421.79,10.79,44732,9006,1996-06-08,186384,48,3883,1
5494,female,adult,77.93,-457.33,4.44,46137,2572,1996-06-13,360000,48,7500,1
5311,male,adult,2.56,-11.6,4.28,21381,1766,1996-06-15,30060,60,501,1
5445,male,adult,22.17,-378.64,7.11,39736,2322,1996-06-29,46320,24,1930,1
5301,female,adult,39.86,-11.29,5.03,7067,1698,1996-07-06,141948,36,3943,1
7034,female,adult,5.88,-93.69,8.54,16886,10001,1996-07-11,19044,36,529,1
6751,female,adult,16.67,-4.51,2.95,12550,8680,1996-07-14,85716,36,2381,1
6667,male,adult,71.65,-421.45,7.29,40774,8127,1996-07-15,155880,24,6495,1
6130,male,adult,9.52,-39.2,4.93,9263,5541,1996-07-18,32640,48,680,1
5429,male,adult,2.37,4.28,15.34,22072,2268,1996-07-18,20196,36,561,1
5725,female,adult,53.76,-61.05,4.44,18499,3679,1996-07-23,444864,48,9268,1
6019,female,kid,13.28,-37.2,9.65,8868,5033,1996-07-25,11400,12,950,1
6421,male,adult,29.98,-383.05,6.38,40617,6985,1996-07-25,96768,36,2688,1
6992,female,adult,33.37,-397.07,3.86,38779,9790,1996-07-27,133968,48,2791,1
5136,female,adult,86.68,-734.69,8.35,67276,846,1996-07-28,187104,24,7796,1
5337,male,adult,16.67,13.34,8.42,18950,1886,1996-07-31,162468,36,4513,1
5495,male,adult,12.9,-14.17,3.73,11688,2580,1996-08-02,89340,60,1489,1
7013,male,adult,12.9,-13.3,3.73,11588,9928,1996-08-02,89340,60,1489,1
6012,male,adult,57.24,-41.97,15.34,10625,4994,1996-08-03,258444,36,7179,1
6471,female,adult,28.21,-23.2,5.92,21841,7184,1996-08-04,155640,24,6485,1
6296,male,adult,16.67,-12.53,7.49,32400,6358,1996-08-06,270384,48,5633,1
7305,male,adult,16.67,-20.25,3.54,27981,11359,1996-08-06,54024,12,4502,1
6144,male,adult,40.88,-292.16,6.33,31773,5593,1996-08-09,44376,12,3698,1
6283,female,adult,18.54,-302.96,4.44,36997,6289,1996-08-11,85632,48,1784,1
7246,male,adult,16.67,-38.85,4.5,18196,11054,1996-08-20,148920,60,2482,1
5088,male,adult,16.67,-8.07,8.42,20830,544,1996-08-22,91152,24,3798,1
5988,female,adult,70.57,-217.49,3.86,20650,4851,1996-08-22,141648,24,5902,1
5282,female,adult,99.03,-204.61,3.17,16802,1583,1996-08-24,388512,48,8094,-1
5938,male,kid,132.07,-238.18,7.43,10456,4650,1996-08-25,402000,60,6700,1
5606,female,adult,83.4,-184.49,4.5,16980,3084,1996-08-28,253512,36,7042,-1
5385,male,adult,8.84,-7.03,15.34,22039,2143,1996-09-09,71460,36,1985,1
6865,male,adult,27.28,-58.48,8.35,11800,9199,1996-09-11,29448,12,2454,-1
5586,female,adult,7.1,-33.75,4.75,24150,2994,1996-09-14,48744,36,1354,1
6302,male,adult,16.67,-8.28,4.27,16582,6397,1996-09-16,181020,60,3017,1
7194,male,adult,10.12,-6.24,15.34,18170,10762,1996-09-17,68832,36,1912,1
6461,female,adult,23.52,-362.19,7.11,38401,7136,1996-09-19,74124,36,2059,1
6732,female,adult,38.02,-449.17,7.07,48754,8533,1996-09-19,174048,48,3626,1
6613,female,adult,42.89,-384.71,3.17,36110,7926,1996-09-22,84120,24,3505,1
7036,male,adult,48.02,-264.75,9.07,35718,10019,1996-09-25,194940,36,5415,1
5897,female,adult,4.41,-16.55,8.54,16083,4476,1996-09-25,15192,24,633,1
6995,female,adult,83.27,-272.34,4.44,27820,9814,1996-09-26,96168,12,8014,1
5415,male,adult,44.29,-44.53,4.83,8767,2236,1996-09-26,139464,36,3874,-1
7136,male,adult,20.16,9.9,3.73,5243,10436,1996-09-28,54396,36,1511,1
7271,male,adult,16.67,-6.52,7.11,35266,11186,1996-10-02,392460,60,6541,1
5375,female,adult,68.55,-95.04,15.34,15612,2106,1996-10-03,101520,12,8460,1
5635,female,adult,17.1,-177.26,15.34,32627,3230,1996-10-04,77184,36,2144,1
6817,male,adult,9.89,-15.97,15.34,15782,9024,1996-10-04,70656,48,1472,1
5923,female,adult,9.9,51.16,3.2,5300,4585,1996-10-10,64656,48,1347,1
5329,female,adult,16.67,-2.07,4.08,33827,1862,1996-10-16,396120,60,6602,1
6644,male,adult,43.83,-171.86,6.73,20293,8039,1996-10-20,93600,24,3900,1
6354,female,adult,7.82,48.03,4.03,3600,6688,1996-10-23,22968,36,638,1
5082,female,adult,50.98,-112.49,6.44,13887,501,1996-10-24,262980,60,4383,1
6585,female,adult,64.44,-538.45,4.44,55242,7795,1996-10-29,372120,60,6202,1
6921,female,adult,16.67,2.23,7.0,34953,9422,1996-10-29,86184,12,7182,1
5366,female,adult,16.67,1.07,7.0,35453,2062,1996-10-29,86184,12,7182,1
5886,female,adult,62.66,-441.44,3.86,40907,4447,1996-10-31,192744,36,5354,1
5741,female,kid,9.66,20.47,7.29,20654,3754,1996-11-03,68544,24,2856,1
4996,male,adult,79.1,-355.62,10.79,35080,132,1996-11-06,88440,12,7370,1
6015,male,adult,55.68,-671.4,3.48,58975,5001,1996-11-09,110112,24,4588,1
6309,female,adult,36.59,-149.39,15.34,26687,6434,1996-11-11,110136,24,4589,1
6073,male,adult,77.72,-145.23,4.44,9925,5263,1996-11-12,276300,60,4605,1
6006,male,adult,63.62,-122.56,4.93,14980,4948,1996-11-15,359760,60,5996,1
5611,female,adult,16.67,1.01,7.26,26442,3115,1996-11-15,321180,60,5353,1
6944,male,adult,5.31,20.81,3.86,13378,9548,1996-11-15,46176,48,962,1
7101,male,adult,41.71,-46.06,7.26,21941,10297,1996-11-18,421008,48,8771,1
6599,male,adult,16.67,-1.05,3.86,30431,7859,1996-11-19,72120,12,6010,1
